C-SDB_TIT-0,C-W96-0,C-SDB_BBTR-0,F-ANK,F-UEB
197709,W96-9,84,300,854
197709,W96-9,75,58,350
197710,W96-9,1,79687,222027
197710,W96-9,2,37008,107086
197710,W96-9,3,25078,69074
197710,W96-9,70,1568,4157
197710,W96-9,81,4524,16874
197710,W96-9,84,267,957
197710,W96-9,75,73,426
197711,W96-9,1,47844,117755
197711,W96-9,2,21739,57030
197711,W96-9,3,14162,39150
197711,W96-9,70,217,674
197711,W96-9,81,2387,9396
197711,W96-9,84,244,829
197711,W96-9,75,88,599
197712,W96-9,1,37168,95387
197712,W96-9,2,17513,47454
197712,W96-9,3,11901,33224
197712,W96-9,70,69,606
197712,W96-9,81,1825,5941
197712,W96-9,84,145,619
197712,W96-9,75,50,330
197801,W96-9,1,31487,83107
197801,W96-9,2,13834,37996
197801,W96-9,3,10205,32265
197801,W96-9,70,46,237
197801,W96-9,81,1726,7010
197801,W96-9,84,166,513
197801,W96-9,75,56,315
197802,W96-9,1,32251,81449
197802,W96-9,2,12617,33447
197802,W96-9,3,8921,30537
197802,W96-9,70,11,38
197802,W96-9,81,1576,6421
197802,W96-9,84,158,426
197802,W96-9,75,75,382
197803,W96-9,1,54072,144693
197803,W96-9,2,25364,70868
197803,W96-9,3,17802,54907
197803,W96-9,70,733,2722
197803,W96-9,81,2919,11901
197803,W96-9,84,237,817
197803,W96-9,75,85,388
197804,W96-9,1,65779,167637
197804,W96-9,2,30823,82330
197804,W96-9,3,20715,57552
197804,W96-9,70,1464,3667
197804,W96-9,81,4586,18234
197804,W96-9,84,301,726
197804,W96-9,75,89,419
197805,W96-9,1,86284,239633
197805,W96-9,2,44372,128474
197805,W96-9,3,28185,79720
197805,W96-9,70,4029,11247
197805,W96-9,81,5481,21958
197805,W96-9,84,293,1007
197805,W96-9,75,81,327
197806,W96-9,1,77409,195228
197806,W96-9,2,38753,107871
197806,W96-9,3,24374,62678
197806,W96-9,70,8697,20069
197806,W96-9,81,5407,21812
197806,W96-9,84,239,805
